"time","type","clientNum","chamada","busyServers","queue"
2016-02-15 18:32:36,"arrive",233,"A141",8,0
2016-02-15 18:39:49,"depart",233,"A141",7,0
2016-02-15 18:40:32,"depart",231,"A139",6,0
2016-02-15 18:44:15,"arrive",234,"A142",7,0
2016-02-15 18:44:28,"depart",212,"E010",6,0
2016-02-15 18:44:58,"arrive",235,"E011",7,0
2016-02-15 18:46:14,"arrive",236,"A143",8,0
2016-02-15 18:47:08,"depart",234,"A142",7,0
2016-02-15 18:47:12,"arrive",237,"A144",8,0
2016-02-15 18:47:36,"arrive",238,"A145",9,0
2016-02-15 18:47:42,"depart",230,"A138",8,0
2016-02-15 18:48:36,"arrive",239,"A146",9,0
2016-02-15 18:51:04,"arrive",240,"A147",9,1
2016-02-15 18:53:11,"depart",220,"A128",9,0
2016-02-15 18:53:35,"depart",240,"A147",8,0
2016-02-15 18:54:01,"arrive",241,"A148",9,0
2016-02-15 18:54:11,"arrive",242,"A149",9,1
2016-02-15 18:56:49,"depart",237,"A144",9,0
2016-02-15 18:57:08,"depart",235,"E011",8,0
2016-02-15 18:57:14,"depart",242,"A149",7,0
2016-02-15 18:57:39,"arrive",243,"A150",8,0
2016-02-15 19:00:44,"depart",243,"A150",7,0
2016-02-15 19:01:06,"depart",241,"A148",6,0
2016-02-15 19:01:19,"depart",218,"A126",5,0
2016-02-15 19:02:25,"depart",236,"A143",4,0
2016-02-15 19:10:24,"depart",239,"A146",3,0
2016-02-15 19:12:11,"depart",209,"EP001",2,0
2016-02-15 19:22:29,"depart",232,"A140",1,0
2016-02-15 19:37:13,"depart",238,"A145",0,0
2016-02-16 17:06:12,"arrive",244,"A113",1,0
2016-02-16 17:10:39,"arrive",245,"A114",2,0
2016-02-16 17:10:51,"arrive",246,"E006",3,0
2016-02-16 17:10:55,"depart",246,"E006",2,0
2016-02-16 17:11:31,"arrive",247,"EP003",3,0
2016-02-16 17:11:37,"depart",247,"EP003",2,0
2016-02-16 17:11:45,"arrive",248,"E007",3,0
2016-02-16 17:11:49,"arrive",249,"A115",4,0
2016-02-16 17:11:50,"depart",248,"E007",3,0
2016-02-16 17:11:58,"arrive",250,"EP004",4,0
2016-02-16 17:12:01,"depart",250,"EP004",3,0
2016-02-16 17:12:01,"arrive",251,"A116",4,0
2016-02-16 17:12:13,"arrive",252,"A117",5,0
2016-02-16 17:12:20,"arrive",253,"E008",6,0
2016-02-16 17:12:24,"arrive",254,"E009",7,0
2016-02-16 17:12:28,"depart",253,"E008",6,0
